word1-translated	word2-translated	Assoc(USF)
قتل کرو	دفاع کرو	0.14
غائب ہو	سکڑیں	0.14
فراہم کرو	لے لو	0.14
سانس لینے	گلا گھونٹنا	0.14
تسلیم کرتے ہیں	مطلع	0.13
بن	لگتا ہے	0.11
دکھاؤ	لگتا ہے	0.11
پورا	بن	0.11
خیال رکھنا	سوچنا	0.11
تعین کریں	پیش گوئی	0.11
براہ کرم	تفریح	0.11
رہیں	برقرار رکھو	0.11
دکھاؤ	بیان کیا	0.11
بھول جاؤ	برقرار رکھو	0.11
چاہتے ہیں	منتخب کریں	0.11
کھو	حاصل کرو	0.11
کوشش کریں	سوچنا	0.11
بن	ظاہر	0.11
چھوڑ دو	نظر انداز	0.11
قبول کرو	تجویز کرو	0.11
چھوڑ دو	گھومنا	0.11
رکھو	دے دو	0.11
دے دو	اجازت دیں	0.11
لانے	بھیجیں	0.11
جذب	سیکھنا	0.11
حاصل	مل	0.11
چھوڑ دو	ظاہر	0.11
بنانا	تباہ	0.11
شروع کرو	جاؤ	0.11
حاصل کرو	خریدنے	0.11
جمع	بچاؤ	0.11
تبدیل کریں	بحال کریں	0.11
شامل ہونا	شامل کریں	0.11
شامل ہونا	شادی کرو	0.11
قبول کرو	فراہم کرو	0.11
منسلک کریں	شامل ہونا	0.11
ڈالیں	پھانسی	0.11
جاؤ	فروخت	0.11
بات چیت	دعا کرو	0.11
دے دو	چوری	0.11
شامل کریں	تعمیر کرو	0.11
لانے	بحال کریں	0.1
سمجھو	مطمئن	0.0
بیان کیا	فیصلہ کرنا	0.0
منظم	بن	0.0
دے دو	پتہ	0.0
کہہ دو	تصدیق کریں	0.0
تعاون کریں	شامل ہونا	0.0
بندوبست کریں	ضرورت ہے	0.0
قرض لے	چاہتے ہیں	0.0
تحقیقات	پیچھا کرنا	0.0
نظر انداز	تلاش کریں	0.0
لانے	شکایت	0.0
درج کریں	الوداع	0.0
بیان کیا	مطلع	0.0
یاد رکھیں	فروخت	0.0
جذب	مالک	0.0
شامل ہونا	حاصل	0.0
بھیجیں	حاضری	0.0
جمع	حاضری	0.0
جذب	واپس لے لو	0.0
حاضری	آو	0.0
